nome,classificacao
Arroz em grão,Agroindústria
Café torrado e moído,Agroindústria
Café torrado em grão,Agroindústria
Cajuína,Agroindústria
Carne de bovinos(verde),Agroindústria
Carne de outros animais(verde),Agroindústria
Carne de suínos(verde),Agroindústria
"Carne tratada(de sol, salgada)",Agroindústria
Caroço de algodão,Agroindústria
Carvão vegetal,Agroindústria
Couros e peles,Agroindústria
Creme de leite,Agroindústria
Doces e geléias,Agroindústria
"Embutidos(linguiças, salsichas, etc.)",Agroindústria
Farinha de mandioca,Agroindústria
Fubá de milho,Agroindústria
Fumo em rolo ou corda,Agroindústria
Goma ou tapioca,Agroindústria
Legumes e verduras (processadas),Agroindústria
Licores,Agroindústria
Manteiga,Agroindústria
Melado,Agroindústria
Óleos vegetais,Agroindústria
Outros produtos,Agroindústria
"Pães, bolos e biscoitos",Agroindústria
Polpa de frutas,Agroindústria
Produtos de madeira,Agroindústria
Queijo e requeijão,Agroindústria
Rapadura,Agroindústria
Sucos de frutas,Agroindústria
Vinho de uva,Agroindústria
Açaí (fruto),Extração Vegetal
Andiroba (semente),Extração Vegetal
Araticum (fruto),Extração Vegetal
Babaçu (coco),Extração Vegetal
Babaçu (amêndoa),Extração Vegetal
Bacaba (fruto),Extração Vegetal
Bacuri,Extração Vegetal
Baru (amêndoa),Extração Vegetal
Borracha (látex líquido),Extração Vegetal
Borracha (látex coagulado),Extração Vegetal
Buriti (coco),Extração Vegetal
Buriti (palha),Extração Vegetal
Butiá (fibra),Extração Vegetal
Cacau (amêndoa),Extração Vegetal
Cagaita (fruto),Extração Vegetal
Cajarana,Extração Vegetal
Camu-camu (fruto),Extração Vegetal
Carnaúba (cera),Extração Vegetal
Carnaúba (pó de palha),Extração Vegetal
Casca de angico,Extração Vegetal
Castanha-do-Brasil (castanha-do-Pará),Extração Vegetal
Caucho (goma elástica),Extração Vegetal
Copaíba (óleo),Extração Vegetal
Cumaru (semente),Extração Vegetal
Cupuaçu,Extração Vegetal
Erva-mate,Extração Vegetal
Ipecacuanha (raiz),Extração Vegetal
Jaborandi (folha),Extração Vegetal
Jambu (folha),Extração Vegetal
Juçara (fruto),Extração Vegetal
Lenha,Extração Vegetal
Licuri (coquilho),Extração Vegetal
Licuri (cera),Extração Vegetal
Maçaranduba (goma não elástica),Extração Vegetal
Macaúba (fruto),Extração Vegetal
Mangaba (fruto),Extração Vegetal
Maniçoba (goma elástica),Extração Vegetal
Madeira em toras para papel,Extração Vegetal
Madeira em toras outra finalidade,Extração Vegetal
Murici,Extração Vegetal
Murumuru (semente),Extração Vegetal
Palmito,Extração Vegetal
Oiticica (semente),Extração Vegetal
Pequi,Extração Vegetal
Piaçava (fibra),Extração Vegetal
Pinhão,Extração Vegetal
Pupunha (coco),Extração Vegetal
Sorva (goma não elástica),Extração Vegetal
Ucuuba (amêndoa),Extração Vegetal
Imbú ou umbú,Extração Vegetal
Outros produtos,Extração Vegetal
Tucumã,Extração Vegetal
Árvore em pé,Silvicultura
