Timestamp,Rede,Token,Cotação USD,Cotação BRL,Preço do Gas (gwei)
2025-09-04T23:00:10.417Z,BNB Chain,binancecoin,"848,0300","4617,7000","0,1"
2025-09-04T23:00:20.046Z,Polygon,matic-network,"0,2815","1,5300","25,989812385"
2025-09-04T23:15:08.813Z,Ethereum,ethereum,"4336,3600","23614,0000","0,203541604"
2025-09-04T23:15:10.672Z,BNB Chain,binancecoin,"848,5700","4620,9100","0,1"
2025-09-04T23:15:11.547Z,Polygon,matic-network,"0,2809","1,5300","25,989812282"
2025-09-04T23:30:08.761Z,Ethereum,ethereum,"4335,3200","23608,0000","0,190131462"
2025-09-04T23:30:11.149Z,BNB Chain,binancecoin,"847,7300","4616,3000","0,1"
2025-09-04T23:30:12.487Z,Polygon,matic-network,"0,2814","1,5300","25,989812116"
2025-09-04T23:45:08.264Z,Ethereum,ethereum,"4317,6400","23516,0000","0,19664543"
2025-09-04T23:45:09.914Z,BNB Chain,binancecoin,"845,9400","4607,3300","0,1"
2025-09-04T23:45:10.662Z,Polygon,matic-network,"0,2802","1,5300","25,989812101"
2025-09-05T00:00:09.108Z,Ethereum,ethereum,"4297,1300","23400,0000","0,202897731"
2025-09-05T00:00:11.139Z,BNB Chain,binancecoin,"843,5500","4593,5800","0,1"
2025-09-05T00:00:11.886Z,Polygon,matic-network,"0,2800","1,5200","25,98981198"
2025-09-05T00:15:08.624Z,Ethereum,ethereum,"4298,8400","23408,0000","0,187040982"
2025-09-05T00:15:09.898Z,BNB Chain,binancecoin,"844,1200","4596,4700","0,1"
2025-09-05T00:15:10.628Z,Polygon,matic-network,"0,2792","1,5200","25,989853443"
2025-09-05T00:30:10.432Z,Ethereum,ethereum,"4302,5400","23433,0000","0,15548559"
2025-09-05T00:30:12.246Z,BNB Chain,binancecoin,"844,5600","4599,6700","0,1"
2025-09-05T00:30:12.478Z,Polygon,matic-network,"0,2805","1,5300","25,990263695"
2025-09-05T00:45:10.010Z,Ethereum,ethereum,"4309,3700","23467,0000","0,137323083"
2025-09-05T00:45:11.865Z,BNB Chain,binancecoin,"845,1300","4602,2200","0,1"
2025-09-05T00:45:12.619Z,Polygon,matic-network,"0,2797","1,5200","25,993972592"
2025-09-05T01:00:08.960Z,Ethereum,ethereum,"4303,1300","23428,0000","0,196470722"
2025-09-05T01:00:10.417Z,BNB Chain,binancecoin,"844,1600","4595,9500","0,1"
2025-09-05T01:00:10.655Z,Polygon,matic-network,"0,2788","1,5200","26,015058531"
2025-09-05T01:15:10.324Z,Ethereum,ethereum,"4309,7700","23466,0000","0,135586179"
2025-09-05T01:15:11.841Z,BNB Chain,binancecoin,"844,8300","4599,9400","0,1"
2025-09-05T01:15:12.086Z,Polygon,matic-network,"0,2798","1,5200","26,06267683"
2025-09-05T01:30:08.121Z,Ethereum,ethereum,"4321,5400","23537,0000","0,149297865"
2025-09-05T01:30:09.399Z,BNB Chain,binancecoin,"845,5400","4605,2300","0,1"
2025-09-05T01:30:10.053Z,Polygon,matic-network,"0,2809","1,5300","28,53721051"
2025-09-05T01:45:09.016Z,Ethereum,ethereum,"4331,4000","23584,0000","0,148110623"
2025-09-05T01:45:11.125Z,BNB Chain,binancecoin,"846,6600","4609,9600","0,1"
2025-09-05T01:45:12.055Z,Polygon,matic-network,"0,2821","1,5400","37,952132357"
2025-09-05T02:00:08.528Z,Ethereum,ethereum,"4325,3400","23552,0000","0,207495576"
2025-09-05T02:00:10.434Z,BNB Chain,binancecoin,"846,5500","4609,5500","0,1"
2025-09-05T02:00:11.253Z,Polygon,matic-network,"0,2835","1,5400","48,056965504"
2025-09-05T02:15:09.589Z,Ethereum,ethereum,"4326,8000","23559,0000","0,189313484"
2025-09-05T02:15:11.876Z,BNB Chain,binancecoin,"847,3100","4613,5100","0,1"
2025-09-05T02:15:12.720Z,Polygon,matic-network,"0,2832","1,5400","69,779533019"
2025-09-05T02:30:08.484Z,Ethereum,ethereum,"4322,9700","23537,0000","0,277196526"
2025-09-05T02:30:09.857Z,BNB Chain,binancecoin,"846,7300","4610,1700","0,1"
2025-09-05T02:30:10.839Z,Polygon,matic-network,"0,2842","1,5500","80,481137824"
2025-09-05T02:45:08.794Z,Ethereum,ethereum,"4316,5000","23502,0000","0,185727111"
2025-09-05T02:45:10.555Z,BNB Chain,binancecoin,"847,0000","4611,6500","0,1"
