Produtos,Classificacao,Brasil Total,Sul Total,RS Total,Alegrete Total,Brasil Familiar,Sul Familiar,RS Familiar,Alegrete Familiar,Brasil Valor Vendido Total,Sul Valor Vendido Total,RS Valor Vendido Total,Alegrete Valor Vendido Total,Brasil Valor Vendido Familiar,Sul Valor Vendido Familiar,RS Valor Vendido Familiar,Alegrete Valor Vendido Familiar,Obrigatorio
Cenoura,Agricultura,23394,8460,2231,23,19115,7166,1934,19,289627,59086,33150,20,54429,19341,8279,19,1
Chicória,Agricultura,12354,1654,518,1,10625,1390,450,1,33759,5470,1697,,23645,4476,1424,0,1
Chuchu,Agricultura,16160,4789,927,2,13359,4101,825,1,130479,11379,957,,90900,9198,876,0,1
Coentro,Agricultura,65491,697,55,,54687,570,43,0,308032,2263,749,,233526,1218,40,0,1
Cogumelos,Agricultura,773,124,19,,607,103,14,0,132113,8087,2422,,25480,6627,1562,0,0
Couve,Agricultura,71279,11110,3302,51,58093,9132,2895,41,301453,39127,19436,146,204331,29471,13741,126,1
Couve-flor,Agricultura,19646,10952,2505,5,16711,9512,2249,4,162300,53590,18537,1,119972,45850,14295,0,1
Erva-doce,Agricultura,1089,284,20,,842,236,16,0,1834,319,12,,1095,66,7,0,1
Ervilha (vagem),Agricultura,2213,727,377,1,1937,632,329,0,12801,1222,414,,9418,1017,347,0,0
Espinafre,Agricultura,6981,1671,698,4,5613,1409,615,4,48889,5197,3607,6,16457,4277,3066,6,1
Gengibre,Agricultura,2992,646,48,1,2583,518,37,0,41058,3374,135,,35220,1694,24,0,1
Hortelã,Agricultura,6353,849,110,,5021,686,86,0,18385,904,168,,11656,651,112,0,1
Inhame,Agricultura,21991,659,32,,18737,537,28,0,143483,3130,95,,110440,2529,34,0,1
Jiló,Agricultura,20997,870,2,,17275,728,2,0,92362,1721,,,71604,1501,0,0,1
Lentilha,Agricultura,17,9,6,,12,6,3,0,23,3,2,,21,1,0,0,0
Manjericão,Agricultura,3562,553,160,2,2654,444,130,1,8663,702,342,,4473,501,281,0,1
Maxixe,Agricultura,22938,231,10,,19385,197,8,0,39164,185,2,,34198,176,0,0,1
