Produtos,Classificacao,Brasil Total,Sul Total,RS Total,Alegrete Total,Brasil Familiar,Sul Familiar,RS Familiar,Alegrete Familiar,Brasil Valor Vendido Total,Sul Valor Vendido Total,RS Valor Vendido Total,Alegrete Valor Vendido Total,Brasil Valor Vendido Familiar,Sul Valor Vendido Familiar,RS Valor Vendido Familiar,Alegrete Valor Vendido Familiar
Chicória,Agricultura,12354,1654,518,1,10625,1390,450,1,33759,5470,1697,,23645,4476,1424,0
Chuchu,Agricultura,16160,4789,927,2,13359,4101,825,1,130479,11379,957,,90900,9198,876,0
Coentro,Agricultura,65491,697,55,,54687,570,43,0,308032,2263,749,,233526,1218,40,0
Cogumelos,Agricultura,773,124,19,,607,103,14,0,132113,8087,2422,,25480,6627,1562,0
Couve,Agricultura,71279,11110,3302,51,58093,9132,2895,41,301453,39127,19436,146,204331,29471,13741,126
Couve-flor,Agricultura,19646,10952,2505,5,16711,9512,2249,4,162300,53590,18537,1,119972,45850,14295,0
Erva-doce,Agricultura,1089,284,20,,842,236,16,0,1834,319,12,,1095,66,7,0
Ervilha (vagem),Agricultura,2213,727,377,1,1937,632,329,0,12801,1222,414,,9418,1017,347,0
Espinafre,Agricultura,6981,1671,698,4,5613,1409,615,4,48889,5197,3607,6,16457,4277,3066,6
Gengibre,Agricultura,2992,646,48,1,2583,518,37,0,41058,3374,135,,35220,1694,24,0
Hortelã,Agricultura,6353,849,110,,5021,686,86,0,18385,904,168,,11656,651,112,0
Inhame,Agricultura,21991,659,32,,18737,537,28,0,143483,3130,95,,110440,2529,34,0
Jiló,Agricultura,20997,870,2,,17275,728,2,0,92362,1721,,,71604,1501,0,0
Lentilha,Agricultura,17,9,6,,12,6,3,0,23,3,2,,21,1,0,0
Manjericão,Agricultura,3562,553,160,2,2654,444,130,1,8663,702,342,,4473,501,281,0
Maxixe,Agricultura,22938,231,10,,19385,197,8,0,39164,185,2,,34198,176,0,0
Milho verde (espiga),Agricultura,71045,4827,1290,3,57152,4059,1159,2,238822,31376,7639,0,137857,28616,6667,0
Morango,Agricultura,12955,5054,2049,4,11515,4382,1804,2,666013,176022,91105,28,526128,121124,55569,0
Mostarda (semente),Agricultura,1581,269,122,,1256,227,104,0,3454,863,713,,2300,452,373,0
Mudas e outras formas de propagação (produzidas para plantio),Agricultura,878,240,115,1,598,164,87,1,162667,60293,29066,,40774,16360,9902,0
Nabiça,Agricultura,63,38,37,,56,36,35,0,265,24,24,,82,0,0,0
Nabo,Agricultura,1086,422,146,1,846,342,127,0,2751,451,186,,2032,396,155,0
Orégano,Agricultura,891,476,55,1,666,384,47,0,606,139,62,,435,91,59,0
Outros produtos,Agricultura,4922,825,355,2,4111,684,308,1,31427,5661,2348,,21080,5051,2031,0
Pepino,Agricultura,33296,14332,3560,4,28223,12390,3212,3,165762,42864,13115,3,132083,37323,11538,0
Pimenta,Agricultura,28716,1364,255,1,24308,1119,228,1,93625,2144,453,,70894,1716,409,0
Pimentão,Agricultura,32507,5483,1506,2,26901,4776,1348,2,312159,36159,9032,,229420,30041,7492,0
Quiabo,Agricultura,43341,1711,92,,35694,1413,84,0,181652,4138,168,,147643,3740,141,0
Rabanete,Agricultura,6038,2995,1454,5,4971,2625,1319,4,13418,5869,3104,4,9590,4779,2811,0
Repolho,Agricultura,38178,22147,4962,13,32268,19119,4399,10,207872,72787,27563,3,137335,54678,19706,0
Rúcula,Agricultura,20567,4554,1799,13,16764,3872,1579,8,133267,33623,15614,38,76680,22224,10357,36
Salsa,Agricultura,30775,9112,3423,30,25087,7722,2937,22,118824,34053,14248,27,81480,23412,9821,26
Sementes (produzidas para plantio),Agricultura,319,63,36,,262,57,33,0,5744,1481,1381,,3005,1477,1379,0
Taioba,Agricultura,3462,35,1,,2751,26,0,0,2531,24,,,2204,23,0,0
Tomate (estaqueado),Agricultura,44259,14953,3801,7,36389,12902,3324,7,1182780,221957,67742,34,557399,150991,43687,34
Vagem (feijão vagem),Agricultura,13437,5177,1535,3,11635,4510,1384,3,71991,15838,4681,13,59697,13786,4130,13
Abacate,Agricultura,291153,78209,45873,4,228645,66072,39922,2,177955,7359,455,0,48473,4946,371,0
Açaí (fruto),Agricultura,78059,264,88,0,67017,198,75,0,395111,77,11,0,316090,74,1,0
Acerola,Agricultura,319501,16950,6091,0,241737,13362,5016,0,90358,4213,2,0,48870,3045,1,0
"Agave, sisal (fibra)",Agricultura,5631,18,7,0,4527,16,5,0,98378,0,0,0,62234,0,0,0
"Agave, sisal (folha)",Agricultura,1678,10,8,0,1331,8,7,0,12794,0,0,0,9115,0,0,0
Algodão arbóreo,Agricultura,5502,39,28,0,4343,30,21,0,25,0,0,0,22,0,0,0
Ameixa,Agricultura,104067,88741,58964,5,86279,75555,51273,3,68718,51595,31024,1,33866,28951,20961,0
Amora (folha),Agricultura,7985,3390,1110,0,6155,2962,925,0,20087,19256,28,0,19225,18625,1,0
Amora (fruto),Agricultura,57516,21334,13360,1,42896,17616,11369,1,8072,4704,3577,0,4463,3516,2883,0
Atemoia,Agricultura,2792,438,204,0,1848,336,169,0,18783,293,36,0,5234,284,1,0
Azeitona (oliveira),Agricultura,4407,386,281,3,3260,202,139,1,1316,957,947,0,303,200,200,0
Banana,Agricultura,650445,114869,62002,5,518873,97745,54698,2,3082445,485513,81852,0,1457265,350702,76272,0
Borracha (látex coagulado),Agricultura,14874,33,5,0,9748,21,4,0,247992,173,0,0,153537,46,0,0
Borracha (látex líquido),Agricultura,1648,23,2,0,1102,15,2,0,12985,322,0,0,2238,67,0,0
Cacau (amêndoa),Agricultura,125934,43,11,0,101205,37,10,0,1055555,1,0,0,589642,0,0,0
Café arábica em grão (verde),Agricultura,226125,12015,94,0,173934,9584,75,0,10099264,193647,0,0,3485010,117940,0,0
"Café canephora (robusta, conilon) em grão (verde)",Agricultura,81670,504,37,0,65709,393,29,0,2151526,5844,0,0,1064683,2316,0,0
Caju (castanha),Agricultura,143713,197,58,0,116281,148,47,0,183900,3,1,0,117439,1,1,0
Caju (fruto),Agricultura,295939,596,27,0,230040,408,23,0,36045,2,0,0,24388,2,0,0
Camu-camu,Agricultura,507,23,9,0,396,17,8,0,89,0,0,0,28,0,0,0
Caqui,Agricultura,91953,84287,61209,5,76890,71925,52933,2,65220,36770,28729,0,30202,21301,19221,0
Carambola,Agricultura,34603,6535,3019,0,25104,5189,2496,0,793,86,19,0,395,18,10,0
Chá-da-Índia,Agricultura,281,16,4,0,190,8,3,0,2807,2795,0,0,8,0,0,0
Coco-da-baía,Agricultura,321117,1308,12,0,244440,882,9,0,554454,652,0,0,156885,324,0,0
Cravo-da-Índia,Agricultura,15272,52,8,0,12472,38,6,0,32569,0,0,0,27124,0,0,0
Cupuaçu,Agricultura,73956,39,7,0,62097,25,6,0,29533,0,0,0,20025,0,0,0
Dendê (coco),Agricultura,9107,25,7,0,7114,16,6,0,164041,0,0,0,14957,0,0,0
Erva-mate,Agricultura,26520,26317,10664,1,21741,21600,9296,1,168688,167903,98656,0,118661,118567,83472,0
Figo,Agricultura,91046,78938,61302,14,76092,67841,53274,12,16339,5846,5505,0,8440,5008,4690,0
Fruta-de-conde,Agricultura,57142,10289,4566,0,43808,8441,3943,0,20336,232,176,0,11028,45,20,0
Goiaba,Agricultura,384856,82186,51255,8,299374,69294,44329,5,108863,11260,2213,0,60374,6540,1843,0
Graviola,Agricultura,113168,2231,634,0,87008,1725,510,0,21818,4,1,0,13170,1,1,0
Guaraná,Agricultura,10985,111,53,0,9496,84,44,0,13867,0,0,0,11512,0,0,0
Jabuticaba,Agricultura,169426,58798,23986,2,129109,48942,20597,1,10658,524,171,0,3237,426,121,0
Jaca,Agricultura,151488,2268,265,0,117459,1639,217,0,7434,20,0,0,6125,14,0,0
Jambo,Agricultura,49137,391,73,0,37646,280,57,0,216,0,0,0,201,0,0,0
kiwi,Agricultura,3894,3476,2694,0,2947,2723,2166,0,11205,11118,4244,0,3798,3731,3316,0
Laranja,Agricultura,629172,197728,132855,89,497698,167581,114892,65,4869732,432859,99486,200,481321,102097,64829,195
Lichia,Agricultura,10547,2412,358,0,6690,1731,268,0,22946,3252,5,0,8819,1913,1,0
Lima,Agricultura,40206,24073,16280,0,32242,20314,13865,0,3243,292,285,0,1858,36,33,0
Limão,Agricultura,487114,152282,97092,17,383591,128504,83722,13,562436,12914,7255,3,206677,10412,6001,3
Louro (folha),Agricultura,4316,3224,2017,0,3343,2597,1656,0,524,57,54,0,440,0,0,0
Maçã,Agricultura,20047,14839,8038,2,15343,11815,6610,2,1206575,1199094,615135,0,166925,166494,43476,0
Mamão,Agricultura,269863,43827,19114,2,209887,37109,16883,2,556079,109,9,0,56791,92,5,0
Manga,Agricultura,508498,40245,15416,2,391028,32994,13242,2,720728,938,201,0,162110,458,50,0
Maracujá,Agricultura,131820,19326,8992,1,101639,15997,7593,1,327687,44101,6598,0,227083,35984,4898,0
Mudas de cacau,Agricultura,1863,5,0,0,1490,5,0,0,1635,1,0,0,947,1,0,0
Mudas de café,Agricultura,1006,30,6,0,718,25,6,0,85210,660,0,0,23782,309,0,0
Mudas de caju,Agricultura,555,3,0,0,394,2,0,0,21314,1,0,0,619,0,0,0
