Produtos,Classificacao,Brasil Total,Sul Total,RS Total,Alegrete Total,Brasil Familiar,Sul Familiar,RS Familiar,Alegrete Familiar,Brasil Valor Vendido Total,Sul Valor Vendido Total,RS Valor Vendido Total,Alegrete Valor Vendido Total,Brasil Valor Vendido Familiar,Sul Valor Vendido Familiar,RS Valor Vendido Familiar,Alegrete Valor Vendido Familiar
Aguardente de cana,Agroindústria,11028,1040,591,-,8664,911,533,-,265808,20759,9307,-,114960,17133,8155,-
Algodão em pluma,Agroindústria,266,-,-,-,121,-,-,-,2579597,-,-,-,2165,-,-,-
Arroz em grão,Agroindústria,34631,217,119,-,30544,189,104,-,36316,15536,15422,-,11779,8506,8417,-
Café torrado e moído,Agroindústria,11318,342,6,-,8360,252,6,-,57584,5169,-,-,12485,775,-,-
Café torrado em grão,Agroindústria,1571,90,1,-,1131,64,1,-,49365,2278,X,-,10992,533,X,-
Cajuína,Agroindústria,780,-,-,-,595,-,-,-,6653,-,-,-,2716,-,-,-
Carne de bovinos(verde),Agroindústria,120561,112493,86007,2,103633,98028,75065,1,208041,42993,26409,X,98787,23206,13589,X
Carne de outros animais(verde),Agroindústria,121695,90351,67601,3,101313,77437,58344,2,126808,27169,6992,-,54712,10283,3317,X
Carne de suínos(verde),Agroindústria,147543,115876,88862,1,126914,102836,79591,1,94805,12529,7306,X,48882,8500,5971,X
"Carne tratada(de sol, salgada)",Agroindústria,3120,1275,1189,-,2456,1095,1022,-,3717,26,6,-,2766,26,6,-
Caroço de algodão,Agroindústria,51,-,-,-,19,-,-,-,63220,-,-,-,17,-,-,-
Carvão vegetal,Agroindústria,57772,1996,970,-,48570,1701,874,-,1835867,153128,29567,-,289393,102449,20547,-
Couros e peles,Agroindústria,10355,5075,4913,1,8646,4533,4407,1,2257,568,431,X,1584,496,397,X
Creme de leite,Agroindústria,2317,2099,1579,-,2084,1934,1472,-,5363,1141,189,-,1400,853,140,-
Doces e geléias,Agroindústria,65506,49914,43349,31,55701,43869,38383,20,109266,35890,11785,76,62607,15240,9729,66
"Embutidos(linguiças, salsichas, etc.)",Agroindústria,44870,43816,34901,1,39980,39193,31216,1,54811,44463,22457,X,31952,25516,12933,X
Farinha de mandioca,Agroindústria,355207,449,67,-,315611,366,58,-,1356149,31423,109,-,1130177,6577,13,-
Fubá de milho,Agroindústria,5344,282,149,-,4083,237,128,-,11834,4203,1142,-,5057,2653,730,-
Fumo em rolo ou corda,Agroindústria,7319,225,130,-,6512,210,123,-,20893,3893,1606,-,18555,3670,1517,-
Goma ou tapioca,Agroindústria,71306,19,9,-,63387,12,6,-,92920,78,10,-,64275,71,5,-
Legumes e verduras (processadas),Agroindústria,9636,8302,7025,-,8153,7309,6249,-,64669,37456,11689,-,13617,9779,2620,-
Licores,Agroindústria,1617,348,292,-,1347,293,250,-,2302,604,160,-,1362,385,159,-
Manteiga,Agroindústria,11511,7072,5538,-,9951,6426,5087,-,17631,1157,584,-,5763,975,532,-
