Timestamp,Rede,Token,Cotação USD,Cotação BRL,Preço do Gas (em gwei)
2026-01-28T19:45:10.463Z,Ethereum,ethereum,2996.0900,15612.0400,0.1217519790
2026-01-28T19:45:11.598Z,BNB Chain,binancecoin,899.6600,4687.9300,0.0500000000
2026-01-28T19:45:12.208Z,Polygon,polygon-ecosystem-token,0.1171,0.6102,549.6355433250
2026-01-28T20:00:10.751Z,Ethereum,ethereum,3017.4000,15719.7200,0.1063963250
2026-01-28T20:00:15.787Z,BNB Chain,binancecoin,903.6900,4707.9600,0.0500000000
2026-01-28T20:00:17.106Z,Polygon,polygon-ecosystem-token,0.1177,0.6133,416.6044672750
2026-01-28T20:15:10.753Z,Ethereum,ethereum,3017.1600,15696.4500,0.1478852230
2026-01-28T20:15:11.785Z,BNB Chain,binancecoin,904.3400,4704.7500,0.0500000000
2026-01-28T20:15:12.294Z,Polygon,polygon-ecosystem-token,0.1175,0.6111,556.8718176500
2026-01-28T20:30:10.967Z,Ethereum,ethereum,3025.9500,15744.0100,0.0904730470
2026-01-28T20:30:12.308Z,BNB Chain,binancecoin,905.0700,4709.1000,0.0500000000
2026-01-28T20:30:12.918Z,Polygon,polygon-ecosystem-token,0.1180,0.6138,139.3786113610
2026-01-28T20:45:10.843Z,Ethereum,ethereum,3010.6500,15633.9900,0.0849074670
2026-01-28T20:45:12.005Z,BNB Chain,binancecoin,902.7800,4688.0600,0.0500000000
2026-01-28T20:45:12.517Z,Polygon,polygon-ecosystem-token,0.1174,0.6095,128.3180734430
2026-01-28T21:00:10.432Z,Ethereum,ethereum,3011.7000,15647.2700,0.0660848360
2026-01-28T21:00:12.286Z,BNB Chain,binancecoin,902.2100,4687.4500,0.0500000000
2026-01-28T21:00:12.793Z,Polygon,polygon-ecosystem-token,0.1174,0.6098,264.6603487400
2026-01-28T21:15:10.636Z,Ethereum,ethereum,3010.4400,15645.8600,0.0606361040
2026-01-28T21:15:12.663Z,BNB Chain,binancecoin,900.7300,4681.2600,0.0500000000
2026-01-28T21:15:14.318Z,Polygon,polygon-ecosystem-token,0.1177,0.6115,579.7924307970
2026-01-28T21:30:10.230Z,Ethereum,ethereum,3009.7300,15642.4500,0.0527373790
2026-01-28T21:30:11.364Z,BNB Chain,binancecoin,900.6700,4681.0300,0.0500000000
2026-01-28T21:30:11.979Z,Polygon,polygon-ecosystem-token,0.1180,0.6133,685.2604132980
2026-01-28T21:45:10.543Z,Ethereum,ethereum,3014.7800,15661.7700,0.0513325060
2026-01-28T21:45:11.576Z,BNB Chain,binancecoin,901.9400,4685.5900,0.0500000000
2026-01-28T21:45:12.293Z,Polygon,polygon-ecosystem-token,0.1178,0.6119,598.4805771370
2026-01-28T22:00:11.009Z,Ethereum,ethereum,3015.3900,15666.1800,0.0496006590
2026-01-28T22:00:12.108Z,BNB Chain,binancecoin,903.1200,4692.0900,0.0500000000
2026-01-28T22:00:12.722Z,Polygon,polygon-ecosystem-token,0.1182,0.6140,695.8863018500
2026-01-28T22:15:10.688Z,Ethereum,ethereum,3010.6000,15637.6400,0.0460602460
2026-01-28T22:15:11.720Z,BNB Chain,binancecoin,902.5000,4687.7600,0.0500000000
2026-01-28T22:15:12.230Z,Polygon,polygon-ecosystem-token,0.1181,0.6133,738.6012096440
2026-01-28T22:30:10.287Z,Ethereum,ethereum,3010.1500,15635.0000,0.0484045470
2026-01-28T22:30:11.321Z,BNB Chain,binancecoin,902.5700,4688.0500,0.0500000000
2026-01-28T22:30:11.829Z,Polygon,polygon-ecosystem-token,0.1181,0.6136,443.0585095740
2026-01-28T22:45:10.357Z,Ethereum,ethereum,3006.2600,15625.0300,0.0478518140
2026-01-28T22:45:12.324Z,BNB Chain,binancecoin,902.4300,4690.3900,0.0500000000
2026-01-28T22:45:12.833Z,Polygon,polygon-ecosystem-token,0.1187,0.6168,531.5835019410
2026-01-28T23:00:10.370Z,Ethereum,ethereum,3014.5900,15667.7200,0.0443939190
2026-01-28T23:00:12.321Z,BNB Chain,binancecoin,903.2900,4694.6500,0.0500000000
2026-01-28T23:00:13.448Z,Polygon,polygon-ecosystem-token,0.1190,0.6186,581.7522073900
2026-01-28T23:15:10.829Z,Ethereum,ethereum,3012.9200,15662.6800,0.0430163750
2026-01-28T23:15:12.426Z,BNB Chain,binancecoin,902.2600,4690.4200,0.0500000000
2026-01-28T23:15:12.929Z,Polygon,polygon-ecosystem-token,0.1188,0.6178,632.4358118400
2026-01-28T23:30:10.363Z,Ethereum,ethereum,3009.8500,15641.5700,0.0499228890
2026-01-28T23:30:12.627Z,BNB Chain,binancecoin,901.5800,4685.3400,0.0500000000
2026-01-28T23:30:13.135Z,Polygon,polygon-ecosystem-token,0.1189,0.6177,658.8361110560
2026-01-28T23:45:10.358Z,Ethereum,ethereum,3007.0000,15632.8000,0.0478647200
2026-01-28T23:45:11.799Z,BNB Chain,binancecoin,900.4900,4681.4900,0.0500000000
2026-01-28T23:45:12.413Z,Polygon,polygon-ecosystem-token,0.1183,0.6150,704.2026114800
2026-01-29T00:00:10.253Z,Ethereum,ethereum,3005.0600,15620.3200,0.0489805410
2026-01-29T00:00:11.797Z,BNB Chain,binancecoin,901.5300,4686.1600,0.0500000000
2026-01-29T00:00:14.049Z,Polygon,polygon-ecosystem-token,0.1183,0.6149,637.9307596880
2026-01-29T00:15:11.068Z,Ethereum,ethereum,3000.8200,15595.8500,0.0736095680
2026-01-29T00:15:12.509Z,BNB Chain,binancecoin,901.4900,4685.2100,0.0500000000
2026-01-29T00:15:13.123Z,Polygon,polygon-ecosystem-token,0.1180,0.6131,401.8531640690
2026-01-29T00:30:15.771Z,Ethereum,ethereum,3002.5900,15605.6600,0.0551167130
2026-01-29T00:30:17.111Z,BNB Chain,binancecoin,901.3300,4684.5700,0.0500000000
2026-01-29T00:30:17.622Z,Polygon,polygon-ecosystem-token,0.1176,0.6112,710.4565500080
2026-01-29T00:45:10.841Z,Ethereum,ethereum,2997.2300,15579.3100,0.0510313680
2026-01-29T00:45:12.196Z,BNB Chain,binancecoin,899.9500,4677.8400,0.0500000000
2026-01-29T00:45:14.646Z,Polygon,polygon-ecosystem-token,0.1174,0.6100,606.5732566200
2026-01-29T01:00:10.353Z,Ethereum,ethereum,3003.4500,15608.6500,0.0435920040
2026-01-29T01:00:12.206Z,BNB Chain,binancecoin,902.0600,4687.9200,0.0500000000
2026-01-29T01:00:12.816Z,Polygon,polygon-ecosystem-token,0.1175,0.6105,444.8552130190
2026-01-29T01:15:11.277Z,Ethereum,ethereum,3002.9500,15611.4500,0.0464562730
2026-01-29T01:15:13.682Z,BNB Chain,binancecoin,902.4800,4691.7100,0.0500000000
2026-01-29T01:15:14.255Z,Polygon,polygon-ecosystem-token,0.1177,0.6119,638.5652081370
2026-01-29T01:30:11.507Z,Ethereum,ethereum,2990.7300,15547.6100,0.0636458590
2026-01-29T01:30:12.949Z,BNB Chain,binancecoin,898.8000,4672.4800,0.0500000000
2026-01-29T01:30:14.306Z,Polygon,polygon-ecosystem-token,0.1173,0.6099,555.1500480930
2026-01-29T01:45:10.601Z,Ethereum,ethereum,2994.0500,15562.7800,0.0501219000
2026-01-29T01:45:12.454Z,BNB Chain,binancecoin,900.0000,4678.0800,0.0500000000
2026-01-29T01:45:13.065Z,Polygon,polygon-ecosystem-token,0.1175,0.6108,805.1437346950
2026-01-29T02:00:10.919Z,Ethereum,ethereum,2989.0000,15534.4100,0.0544667140
2026-01-29T02:00:12.463Z,BNB Chain,binancecoin,898.5100,4669.7200,0.0500000000
2026-01-29T02:00:13.075Z,Polygon,polygon-ecosystem-token,0.1172,0.6093,271.4223805890
2026-01-29T02:15:11.251Z,Ethereum,ethereum,2988.5800,15534.6600,0.0461839710
2026-01-29T02:15:14.012Z,BNB Chain,binancecoin,899.2400,4674.2400,0.0500000000
2026-01-29T02:15:14.521Z,Polygon,polygon-ecosystem-token,0.1176,0.6113,667.7546827150
2026-01-29T02:30:10.017Z,Ethereum,ethereum,2992.8000,15559.2600,0.0417162350
2026-01-29T02:30:12.279Z,BNB Chain,binancecoin,899.2300,4675.0300,0.0500000000
2026-01-29T02:30:12.788Z,Polygon,polygon-ecosystem-token,0.1178,0.6125,608.6341817640
2026-01-29T02:45:10.672Z,Ethereum,ethereum,2963.5400,15404.4900,0.0595655180
2026-01-29T02:45:12.183Z,BNB Chain,binancecoin,896.3600,4659.2900,0.0500000000
2026-01-29T02:45:14.236Z,Polygon,polygon-ecosystem-token,0.1169,0.6076,142.7100418140
2026-01-29T03:00:11.317Z,Ethereum,ethereum,2953.0400,15347.8200,0.0585167180
2026-01-29T03:00:13.329Z,BNB Chain,binancecoin,893.3600,4643.0600,0.0500000000
2026-01-29T03:00:14.909Z,Polygon,polygon-ecosystem-token,0.1160,0.6031,65.1633758310
2026-01-29T03:15:11.000Z,Ethereum,ethereum,2963.8900,15408.0800,0.0522993180
2026-01-29T03:15:13.457Z,BNB Chain,binancecoin,896.6900,4661.5200,0.0500000000
2026-01-29T03:15:14.384Z,Polygon,polygon-ecosystem-token,0.1168,0.6071,48.1121581050
2026-01-29T03:30:10.480Z,Ethereum,ethereum,2951.9400,15342.7300,0.0588148720
2026-01-29T03:30:12.126Z,BNB Chain,binancecoin,896.0300,4657.1300,0.0500000000
2026-01-29T03:30:14.173Z,Polygon,polygon-ecosystem-token,0.1164,0.6052,36.8152890530
2026-01-29T03:45:10.887Z,Ethereum,ethereum,2952.0200,15342.8400,0.0463450160
2026-01-29T03:45:13.044Z,BNB Chain,binancecoin,896.6900,4660.4800,0.0500000000
2026-01-29T03:45:13.655Z,Polygon,polygon-ecosystem-token,0.1164,0.6050,35.1728961080
2026-01-29T04:00:11.016Z,Ethereum,ethereum,2947.8400,15321.6800,0.0493961780
2026-01-29T04:00:12.460Z,BNB Chain,binancecoin,895.4900,4655.2100,0.0500000000
2026-01-29T04:00:14.298Z,Polygon,polygon-ecosystem-token,0.1165,0.6056,30.3808469190
2026-01-29T04:15:13.713Z,Ethereum,ethereum,2944.3800,15306.3500,0.0737510680
2026-01-29T04:15:15.566Z,BNB Chain,binancecoin,894.5000,4650.0700,0.0500000000
2026-01-29T04:15:16.280Z,Polygon,polygon-ecosystem-token,0.1159,0.6025,29.3313646520
2026-01-29T04:30:11.276Z,Ethereum,ethereum,2940.1100,15286.2300,0.0688566030
2026-01-29T04:30:13.405Z,BNB Chain,binancecoin,896.0100,4658.5600,0.0500000000
2026-01-29T04:30:14.800Z,Polygon,polygon-ecosystem-token,0.1157,0.6014,31.8927212280
2026-01-29T04:45:10.968Z,Ethereum,ethereum,2949.6600,15333.5000,0.0447860530
2026-01-29T04:45:12.516Z,BNB Chain,binancecoin,898.3900,4670.1800,0.0500000000
2026-01-29T04:45:13.125Z,Polygon,polygon-ecosystem-token,0.1163,0.6045,38.6193814930
2026-01-29T05:00:10.694Z,Ethereum,ethereum,2955.3600,15364.0300,0.0449579340
2026-01-29T05:00:12.902Z,BNB Chain,binancecoin,899.4500,4675.9900,0.0500000000
2026-01-29T05:00:13.401Z,Polygon,polygon-ecosystem-token,0.1165,0.6056,44.5497280160
2026-01-29T05:15:11.062Z,Ethereum,ethereum,2954.5000,15358.3600,0.0460503660
2026-01-29T05:15:12.779Z,BNB Chain,binancecoin,898.7500,4671.9600,0.0500000000
2026-01-29T05:15:14.619Z,Polygon,polygon-ecosystem-token,0.1163,0.6047,137.7924669470
2026-01-29T05:30:11.157Z,Ethereum,ethereum,2953.8000,15356.4800,0.0440692870
2026-01-29T05:30:14.138Z,BNB Chain,binancecoin,897.6800,4666.9500,0.0500000000
2026-01-29T05:30:14.749Z,Polygon,polygon-ecosystem-token,0.1163,0.6048,181.3463887770
2026-01-29T05:45:11.367Z,Ethereum,ethereum,2952.6000,15344.6500,0.0404917370
2026-01-29T05:45:13.008Z,BNB Chain,binancecoin,897.7200,4665.4600,0.0500000000
2026-01-29T05:45:13.525Z,Polygon,polygon-ecosystem-token,0.1167,0.6067,309.5779237060
2026-01-29T06:00:11.178Z,Ethereum,ethereum,2945.5300,15312.0500,0.0509759300
2026-01-29T06:00:12.722Z,BNB Chain,binancecoin,897.1100,4663.5200,0.0500000000
2026-01-29T06:00:13.439Z,Polygon,polygon-ecosystem-token,0.1168,0.6069,275.0412959230
2026-01-29T06:15:10.535Z,Ethereum,ethereum,2949.0100,15328.0500,0.0416570640
2026-01-29T06:15:12.488Z,BNB Chain,binancecoin,898.6100,4670.6800,0.0500000000
2026-01-29T06:15:13.101Z,Polygon,polygon-ecosystem-token,0.1166,0.6062,619.4658247500
2026-01-29T06:30:11.395Z,Ethereum,ethereum,2950.7000,15335.9600,0.0392577020
2026-01-29T06:30:13.678Z,BNB Chain,binancecoin,898.7900,4671.3900,0.0500000000
2026-01-29T06:30:14.285Z,Polygon,polygon-ecosystem-token,0.1169,0.6078,601.7622104400
2026-01-29T06:45:11.203Z,Ethereum,ethereum,2951.9900,15342.6600,0.0332690570
2026-01-29T06:45:13.471Z,BNB Chain,binancecoin,898.6500,4670.6600,0.0500000000
2026-01-29T06:45:14.181Z,Polygon,polygon-ecosystem-token,0.1171,0.6084,610.8951501140
2026-01-29T07:00:10.520Z,Ethereum,ethereum,2951.2600,15339.1900,0.0339704250
2026-01-29T07:00:12.067Z,BNB Chain,binancecoin,899.8400,4676.9000,0.0500000000
