Timestamp,Rede,Token,Cotação USD,Cotação BRL,Preço do Gas (em gwei)
2026-01-28T17:30:14.023Z,BNB Chain,binancecoin,899.0000,4682.5700,0.0500000000
2026-01-28T17:45:15.249Z,BNB Chain,binancecoin,902.6100,4695.6100,0.0500000000
